Country,iso2,iso3,region,fragility,co2,sq_km,num_airports,population,mobiles
BAHRAIN,BH,BHR,MIDDLE EAST,63.8,43112000,760,3,1566888,2420000
CYPRUS,CY,CYP,EUROPE,57.8,8024000,9251,14,1320525,1430000
EGYPT,EG,EGY,AFRICA,88.4,235137000,1001450,73,111247248,106000000
IRAN,IR,IRN,MIDDLE EAST,83.0,646038000,1648195,177,88386937,151000000
ISRAEL,IL,ISR,MIDDLE EAST,76.5,61092000,21937,40,9402617,13800000
IRAQ,IQ,IRQ,MIDDLE EAST,99.1,143479000,438317,73,42083436,45700000
JORDAN,JO,JOR,MIDDLE EAST,75.9,23470000,89342,18,11174024,7730000
KUWAIT,KW,KWT,MIDDLE EAST,53.2,92582000,17818,6,3138355,8110000
LEBANON,LB,LBN,MIDDLE EAST,85.0,25838000,10400,8,5364482,4290000
OMAN,OM,OMN,MIDDLE EAST,50.0,76321000,309500,37,3901992,6980000
QATAR,QA,QAT,MIDDLE EAST,45.4,111922000,11586,8,2552088,4700000
SAUDI ARABIA,SA,SAU,MIDDLE EAST,70.4,579925000,2149690,90,36544431,52500000
UNITED ARAB EMIRATES,AE,ARE,MIDDLE EAST,40.1,276236000,83600,42,10032213,21200000
YEMEN,YE,YEM,MIDDLE EAST,113.5,10158000,527968,37,32140443,20000000
